Id,PID,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Bsmt Qual,Bsmt Exposure,Total Bsmt SF,Heating QC,Bedroom AbvGr,Fireplaces,Garage Cars,SalePrice,Street_isPaved,Lotshape_isRegular,isSlopeNormal,is_remodeled,is_roofGable,hasgood_Exterior,is_fullfurnished,has_centralAir,total_full_baths,total_half_baths,has_1pluskitchen,has_paveddriveway,has_pool,has_Porch,isNeigh_collgcr_oldtown,is_densityHigh,log_SalePrice,Foundation_PConc,Sale Type_New Home,proximity_to_veryClose,House_style_1_story,House_style_Splitlevel,house_age_Contemporary,house_age_Medieval,house_age_Stone-age
109,533352170,68,13517,6,8,3,1,725,5,3,0,2,130500,1,0,1,1,1,1,0,1,2,1,0,1,0,1,0,1,11.779128505744886,0,0,1,0,0,0,0,0
544,531379050,43,11492,7,5,4,1,913,5,4,1,2,220000,1,0,1,0,1,1,0,1,3,1,0,1,0,1,0,0,12.301382825334498,1,0,0,0,0,0,1,0
153,535304180,68,7922,5,7,3,1,1057,3,3,0,1,109000,1,1,1,1,1,1,0,1,2,0,0,1,0,1,0,1,11.59910316121128,0,0,0,1,0,0,0,0
318,916386060,73,9802,5,5,4,1,384,4,3,0,2,174000,1,1,1,1,1,1,0,1,2,1,0,1,0,0,0,0,12.066810578196666,1,0,0,0,0,1,0,0
255,906425045,82,14235,6,8,2,1,676,3,3,0,2,138500,1,0,1,0,1,1,0,1,2,0,0,0,0,1,0,0,11.83862560460953,1,0,0,0,0,0,0,1
2827,908186070,35,3675,6,5,4,4,547,4,2,0,2,140000,1,1,1,1,1,1,0,1,3,0,0,1,0,1,1,1,11.84939770159144,1,1,0,0,1,1,0,0
145,535154050,68,12160,5,5,3,1,1188,2,3,0,2,142000,1,0,1,0,0,1,0,1,2,0,0,1,0,0,0,1,11.863582336583399,0,0,0,1,0,0,0,0
1942,535353130,68,15783,5,5,3,1,924,3,2,0,1,112500,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,11.630708500626612,0,0,1,1,0,0,0,0
1956,535426130,70,11606,5,5,4,3,1040,3,5,2,2,135000,1,0,0,0,1,1,0,1,1,3,0,1,0,0,0,1,11.813030057420567,1,0,0,0,0,0,0,0
1044,527451290,21,1680,6,5,3,1,483,3,2,0,1,85400,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,11.355101379776661,0,0,0,0,0,0,0,0
2752,906380150,64,7488,7,5,4,3,1208,5,2,0,2,183600,1,0,1,1,1,1,0,1,2,0,0,1,0,1,1,1,12.120514757168527,1,0,0,1,0,1,0,0
1177,533236070,24,2645,8,5,4,1,960,5,3,0,2,200000,1,1,1,1,1,1,0,1,3,1,0,1,0,0,0,1,12.206072645530174,1,0,0,0,0,0,1,0
1480,907418040,74,9627,7,5,4,3,1351,5,3,0,2,193000,1,1,1,1,1,1,0,1,2,0,0,1,0,1,1,1,12.170445467887022,1,0,0,1,0,1,0,0
