Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Overall Cond,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating QC,Bedroom AbvGr,Fireplaces,Garage Cars,Garage Qual,Garage Cond,Mo Sold,Yr Sold,Sale Type,SalePrice,Street_isPaved,Lotshape_isRegular,isLandLevel,isLotInside,isLotCorner,isLotCulDSac,isSlopeNormal,proximity_to,Density,House_style,Bldg_type,isgood_overall,house_age,is_remodeled,is_roofGable,has_masonryveneer,hasgood_Exterior,hasgood_Basement,hasBasement,is_fullfurnished,has_gasFurnace,has_centralAir,total_full_baths,total_half_baths,has_1pluskitchen,has_goodkitchen,is_fullyfunctional,has_fireplace,has_detachedGarage,has_Garage,has_goodGarage,has_paveddriveway,has_pool,has_woodDeck,has_Porch,has_miscFeatures,has_goodFence,isNeigh_collgcr_oldtown,is_densityHigh
109,533352170,60,RL,68,13517,Sawyer,6,8,Gable,HdBoard,Plywood,4,3,CBlock,3,3,1,5,1,725,5,3,0,2,3,3,3,2010,WarrantyDeed,130500,1,0,1,0,0,1,1,veryClose,MedHigh,2&2.5_story,Single,1,Colonial,1,1,1,1,0,0,0,1,1,2,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1
544,531379050,60,RL,43,11492,SawyerW,7,5,Gable,VinylSd,VinylSd,4,3,PConc,4,3,1,5,1,913,5,4,1,2,3,3,4,2009,WarrantyDeed,220000,1,0,1,0,0,1,1,close,MedLow,2&2.5_story,Single,0,Medieval,0,1,1,1,0,0,0,1,1,3,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
153,535304180,20,RL,68,7922,NAmes,5,7,Gable,VinylSd,VinylSd,3,4,CBlock,3,3,1,5,1,1057,3,3,0,1,3,3,1,2010,WarrantyDeed,109000,1,1,1,1,0,0,1,close,High,1_story,Single,0,Colonial,1,1,0,1,0,0,0,1,1,2,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1
318,916386060,60,RL,73,9802,Timber,5,5,Gable,VinylSd,VinylSd,3,3,PConc,4,3,1,1,1,384,4,3,0,2,3,3,4,2010,WarrantyDeed,174000,1,1,1,1,0,0,1,close,Low,2&2.5_story,Single,0,Contemporary,1,1,0,1,0,0,0,1,1,2,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
255,906425045,50,RL,82,14235,SawyerW,6,8,Gable,Wd Sdng,Plywood,3,3,PConc,2,4,1,1,1,676,3,3,0,2,3,3,3,2010,WarrantyDeed,138500,1,0,1,1,0,0,1,close,MedLow,1.5_story,Single,1,Stone-age,0,1,0,1,0,0,0,1,1,2,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
138,535126040,20,RL,137,16492,NAmes,6,6,Gable,BrkFace,Plywood,4,3,CBlock,3,3,1,4,4,1517,5,2,1,2,3,3,6,2010,WarrantyDeed,190000,1,0,1,0,1,0,1,far,High,1_story,Single,0,Colonial,1,1,0,1,0,0,0,1,1,2,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1
2827,908186070,180,RM,35,3675,Edwards,6,5,Gable,VinylSd,VinylSd,3,3,PConc,4,3,4,5,1,547,4,2,0,2,3,3,6,2006,New Home,140000,1,1,1,1,0,0,1,close,MedHigh,Splitlevel,TownHouse,0,Contemporary,1,1,1,1,1,0,0,1,1,3,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1
145,535154050,20,RL,68,12160,NAmes,5,5,Hip,Plywood,Plywood,3,3,CBlock,3,3,1,4,1,1188,2,3,0,2,3,3,5,2010,COD,142000,1,0,1,1,0,0,1,close,High,1_story,Single,0,Colonial,0,0,1,1,0,0,0,1,1,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1
1942,535353130,20,RL,68,15783,OldTown,5,5,Gable,Wd Sdng,Wd Sdng,3,3,CBlock,3,3,1,4,1,924,3,2,0,1,3,3,6,2007,WarrantyDeed,112500,1,1,1,1,0,0,1,veryClose,High,1_story,Single,0,Colonial,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1
1956,535426130,60,RL,70,11606,NAmes,5,5,Gable,Plywood,Plywood,3,3,PConc,4,3,3,4,1,1040,3,5,2,2,3,3,9,2007,WarrantyDeed,135000,1,0,0,1,0,0,0,close,High,2&2.5_story,Single,0,Colonial,0,1,1,1,1,0,0,1,1,1,3,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1
