Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Overall Cond,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating QC,Bedroom AbvGr,Fireplaces,Garage Cars,Garage Qual,Garage Cond,Mo Sold,Yr Sold,Sale Type,SalePrice,Street_isPaved,Lotshape_isRegular,isLandLevel,isLotInside,isLotCorner,isLotCulDSac,isSlopeNormal,proximity_to,Density,House_style,Bldg_type,isgood_overall,house_age,is_remodeled,is_roofGable,has_masonryveneer,hasgood_Exterior,hasgood_Basement,hasBasement,is_fullfurnished,has_gasFurnace,has_centralAir,total_full_baths,total_half_baths,has_1pluskitchen,has_goodkitchen,is_fullyfunctional,has_fireplace,has_detachedGarage,has_Garage,has_goodGarage,has_paveddriveway,has_pool,has_woodDeck,has_Porch,has_miscFeatures,has_goodFence,isNeigh_collgcr_oldtown,is_densityHigh,log_SalePrice
109,533352170,60,RL,68,13517,Sawyer,6,8,Gable,HdBoard,Plywood,4,3,CBlock,3,3,1,5,1,725,5,3,0,2,3,3,3,2010,WarrantyDeed,130500,1,0,1,0,0,1,1,veryClose,MedHigh,2&2.5_story,Single,1,Colonial,1,1,1,1,0,0,0,1,1,2,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,11.779128505744886
544,531379050,60,RL,43,11492,SawyerW,7,5,Gable,VinylSd,VinylSd,4,3,PConc,4,3,1,5,1,913,5,4,1,2,3,3,4,2009,WarrantyDeed,220000,1,0,1,0,0,1,1,close,MedLow,2&2.5_story,Single,0,Medieval,0,1,1,1,0,0,0,1,1,3,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,12.301382825334498
153,535304180,20,RL,68,7922,NAmes,5,7,Gable,VinylSd,VinylSd,3,4,CBlock,3,3,1,5,1,1057,3,3,0,1,3,3,1,2010,WarrantyDeed,109000,1,1,1,1,0,0,1,close,High,1_story,Single,0,Colonial,1,1,0,1,0,0,0,1,1,2,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,11.59910316121128
318,916386060,60,RL,73,9802,Timber,5,5,Gable,VinylSd,VinylSd,3,3,PConc,4,3,1,1,1,384,4,3,0,2,3,3,4,2010,WarrantyDeed,174000,1,1,1,1,0,0,1,close,Low,2&2.5_story,Single,0,Contemporary,1,1,0,1,0,0,0,1,1,2,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,12.066810578196666
255,906425045,50,RL,82,14235,SawyerW,6,8,Gable,Wd Sdng,Plywood,3,3,PConc,2,4,1,1,1,676,3,3,0,2,3,3,3,2010,WarrantyDeed,138500,1,0,1,1,0,0,1,close,MedLow,1.5_story,Single,1,Stone-age,0,1,0,1,0,0,0,1,1,2,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,11.83862560460953
2827,908186070,180,RM,35,3675,Edwards,6,5,Gable,VinylSd,VinylSd,3,3,PConc,4,3,4,5,1,547,4,2,0,2,3,3,6,2006,New Home,140000,1,1,1,1,0,0,1,close,MedHigh,Splitlevel,TownHouse,0,Contemporary,1,1,1,1,1,0,0,1,1,3,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,11.84939770159144
145,535154050,20,RL,68,12160,NAmes,5,5,Hip,Plywood,Plywood,3,3,CBlock,3,3,1,4,1,1188,2,3,0,2,3,3,5,2010,COD,142000,1,0,1,1,0,0,1,close,High,1_story,Single,0,Colonial,0,0,1,1,0,0,0,1,1,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,11.863582336583399
1942,535353130,20,RL,68,15783,OldTown,5,5,Gable,Wd Sdng,Wd Sdng,3,3,CBlock,3,3,1,4,1,924,3,2,0,1,3,3,6,2007,WarrantyDeed,112500,1,1,1,1,0,0,1,veryClose,High,1_story,Single,0,Colonial,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,11.630708500626612
1956,535426130,60,RL,70,11606,NAmes,5,5,Gable,Plywood,Plywood,3,3,PConc,4,3,3,4,1,1040,3,5,2,2,3,3,9,2007,WarrantyDeed,135000,1,0,0,1,0,0,0,close,High,2&2.5_story,Single,0,Colonial,0,1,1,1,1,0,0,1,1,1,3,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,11.813030057420567
1044,527451290,160,RM,21,1680,BrDale,6,5,Gable,HdBoard,HdBoard,3,3,CBlock,3,3,1,4,1,483,3,2,0,1,3,3,7,2008,COD,85400,1,1,1,1,0,0,1,close,Low,2&2.5_story,TownHouse,0,Colonial,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,11.355101379776661
2752,906380150,20,RL,64,7488,CollgCr,7,5,Gable,VinylSd,VinylSd,4,3,PConc,4,3,3,5,1,1208,5,2,0,2,3,3,2,2006,WarrantyDeed,183600,1,0,1,1,0,0,1,close,High,1_story,Single,0,Contemporary,1,1,0,1,1,0,0,1,1,2,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,12.120514757168527
1177,533236070,160,FV,24,2645,Somerst,8,5,Gable,MetalSd,MetalSd,4,3,PConc,4,3,1,5,1,960,5,3,0,2,3,3,12,2008,Contract,200000,1,1,1,1,0,0,1,close,MedHigh,2&2.5_story,TownHouse,1,Medieval,1,1,1,1,0,0,0,1,1,3,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,12.206072645530174
1480,907418040,20,RL,74,9627,CollgCr,7,5,Gable,VinylSd,VinylSd,4,3,PConc,4,3,3,5,1,1351,5,3,0,2,3,3,6,2008,WarrantyDeed,193000,1,1,1,1,0,0,1,close,High,1_story,Single,0,Contemporary,1,1,0,1,1,0,0,1,1,2,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,12.170445467887022
